#SN	RA	DEC	ZHEL	ZCMB	PASS
sim_sne/0	0.0	0.0	0.297708	0.297708	True
sim_sne/1	0.0	0.0	0.297708	0.297708	True
sim_sne/10	0.0	0.0	0.297708	0.297708	True
sim_sne/100	0.0	0.0	0.297708	0.297708	True
sim_sne/101	0.0	0.0	0.297708	0.297708	True
sim_sne/102	0.0	0.0	0.297708	0.297708	True
sim_sne/103	0.0	0.0	0.297708	0.297708	True
sim_sne/104	0.0	0.0	0.297708	0.297708	True
sim_sne/105	0.0	0.0	0.297708	0.297708	True
sim_sne/106	0.0	0.0	0.297708	0.297708	True
sim_sne/107	0.0	0.0	0.297708	0.297708	True
sim_sne/108	0.0	0.0	0.297708	0.297708	True
sim_sne/109	0.0	0.0	0.297708	0.297708	True
sim_sne/11	0.0	0.0	0.297708	0.297708	True
sim_sne/110	0.0	0.0	0.297708	0.297708	True
sim_sne/111	0.0	0.0	0.297708	0.297708	True
sim_sne/112	0.0	0.0	0.297708	0.297708	True
sim_sne/113	0.0	0.0	0.297708	0.297708	True
sim_sne/114	0.0	0.0	0.297708	0.297708	True
sim_sne/115	0.0	0.0	0.297708	0.297708	True
sim_sne/116	0.0	0.0	0.297708	0.297708	True
sim_sne/117	0.0	0.0	0.297708	0.297708	True
sim_sne/118	0.0	0.0	0.297708	0.297708	True
sim_sne/119	0.0	0.0	0.297708	0.297708	True
sim_sne/12	0.0	0.0	0.297708	0.297708	True
sim_sne/120	0.0	0.0	0.297708	0.297708	True
sim_sne/121	0.0	0.0	0.297708	0.297708	True
sim_sne/122	0.0	0.0	0.297708	0.297708	True
sim_sne/123	0.0	0.0	0.297708	0.297708	True
sim_sne/124	0.0	0.0	0.297708	0.297708	True
sim_sne/125	0.0	0.0	0.297708	0.297708	True
sim_sne/126	0.0	0.0	0.297708	0.297708	True
sim_sne/127	0.0	0.0	0.297708	0.297708	True
sim_sne/128	0.0	0.0	0.297708	0.297708	True
sim_sne/129	0.0	0.0	0.297708	0.297708	True
sim_sne/13	0.0	0.0	0.297708	0.297708	True
sim_sne/130	0.0	0.0	0.297708	0.297708	True
sim_sne/131	0.0	0.0	0.297708	0.297708	True
sim_sne/132	0.0	0.0	0.297708	0.297708	True
sim_sne/133	0.0	0.0	0.297708	0.297708	True
sim_sne/134	0.0	0.0	0.297708	0.297708	True
sim_sne/135	0.0	0.0	0.297708	0.297708	True
sim_sne/136	0.0	0.0	0.297708	0.297708	True
sim_sne/137	0.0	0.0	0.297708	0.297708	True
sim_sne/138	0.0	0.0	0.297708	0.297708	True
sim_sne/139	0.0	0.0	0.297708	0.297708	True
sim_sne/14	0.0	0.0	0.297708	0.297708	True
sim_sne/140	0.0	0.0	0.297708	0.297708	True
sim_sne/141	0.0	0.0	0.297708	0.297708	True
sim_sne/142	0.0	0.0	0.297708	0.297708	True
sim_sne/143	0.0	0.0	0.297708	0.297708	True
sim_sne/144	0.0	0.0	0.297708	0.297708	True
sim_sne/145	0.0	0.0	0.297708	0.297708	True
sim_sne/146	0.0	0.0	0.297708	0.297708	True
sim_sne/147	0.0	0.0	0.297708	0.297708	True
sim_sne/148	0.0	0.0	0.297708	0.297708	True
sim_sne/149	0.0	0.0	0.297708	0.297708	True
sim_sne/15	0.0	0.0	0.297708	0.297708	True
sim_sne/150	0.0	0.0	0.297708	0.297708	True
sim_sne/151	0.0	0.0	0.297708	0.297708	True
sim_sne/152	0.0	0.0	0.297708	0.297708	True
sim_sne/153	0.0	0.0	0.297708	0.297708	True
sim_sne/154	0.0	0.0	0.297708	0.297708	True
sim_sne/155	0.0	0.0	0.297708	0.297708	True
sim_sne/156	0.0	0.0	0.297708	0.297708	True
sim_sne/157	0.0	0.0	0.297708	0.297708	True
sim_sne/158	0.0	0.0	0.297708	0.297708	True
sim_sne/159	0.0	0.0	0.297708	0.297708	True
sim_sne/16	0.0	0.0	0.297708	0.297708	True
sim_sne/160	0.0	0.0	0.297708	0.297708	True
sim_sne/161	0.0	0.0	0.297708	0.297708	True
sim_sne/162	0.0	0.0	0.297708	0.297708	True
sim_sne/163	0.0	0.0	0.297708	0.297708	True
sim_sne/164	0.0	0.0	0.297708	0.297708	True
sim_sne/165	0.0	0.0	0.297708	0.297708	True
sim_sne/166	0.0	0.0	0.297708	0.297708	True
sim_sne/167	0.0	0.0	0.297708	0.297708	True
sim_sne/168	0.0	0.0	0.297708	0.297708	True
sim_sne/169	0.0	0.0	0.297708	0.297708	True
sim_sne/17	0.0	0.0	0.297708	0.297708	True
sim_sne/170	0.0	0.0	0.297708	0.297708	True
sim_sne/171	0.0	0.0	0.297708	0.297708	True
sim_sne/172	0.0	0.0	0.297708	0.297708	True
sim_sne/173	0.0	0.0	0.297708	0.297708	True
sim_sne/174	0.0	0.0	0.297708	0.297708	True
sim_sne/175	0.0	0.0	0.297708	0.297708	True
sim_sne/176	0.0	0.0	0.297708	0.297708	True
sim_sne/177	0.0	0.0	0.297708	0.297708	True
sim_sne/178	0.0	0.0	0.297708	0.297708	True
sim_sne/179	0.0	0.0	0.297708	0.297708	True
sim_sne/18	0.0	0.0	0.297708	0.297708	True
sim_sne/180	0.0	0.0	0.297708	0.297708	True
sim_sne/181	0.0	0.0	0.297708	0.297708	True
sim_sne/182	0.0	0.0	0.297708	0.297708	True
sim_sne/183	0.0	0.0	0.297708	0.297708	True
sim_sne/184	0.0	0.0	0.297708	0.297708	True
sim_sne/185	0.0	0.0	0.297708	0.297708	True
